ID,Foods
1,Bread
2,Garlic Bread
3,Cutlett
4,Apple Cake
5,Tea bun
6,Egg Roll
7,Muffins
8,Fish Pizza
9,Chicken Pizza
10,Vanila Doughnut
11,Chocalate Doughnut
12,Coffe Cake
13,Chocalate Cake
14,Butter Cake
15,Fish Roll
16,Chicken Roll
17,Vegatable Roll
18,Fish Pastry
19,Vegetable Pastry
20,Chicken Pastry
21,Fish Bun
22,Banana Cake
23,Strawberry Doughnut
24,Egg Bun
25,Cream Bun
26,Rosted Bread
27,Egg Savoury Roll
28,Pancake
29,Egg Rott
30,Melone juice
31,Apple Juice
32,Vanila Milkshake
33,Chocalate Milkshake
34,Strawberry Milkshake
35,Plain Tea
36,Milk Tea
37,Coffee
38,Orange Juice
39,Chocalate Mousse
40,Milk Toffee
41,Vanila Ice Cream
42,Chocalate Ice Cream
43,Mix Fruit Ice Cream
44,Ice Coffee
45,Mix Fruit Juice
46,Avacado Juice
47,Fresh Milk
48,Butter cookies Packet
49,Lemon Juice
50,Vine Biscuit Packet
